mode,b1,b2,b3,r1,r2,r3,y
hotZone,BROCK,CROW,FANG,JESSIE,LARRY & LAWRIE,MR. P,1
hotZone,BROCK,CROW,FANG,JESSIE,LARRY & LAWRIE,MR. P,1
knockout,DYNAMIKE,SHELLY,SPROUT,GROM,MORTIS,PIPER,1
knockout,DYNAMIKE,SHELLY,SPROUT,GROM,MORTIS,PIPER,1
bounty,GENE,MANDY,SPROUT,BELLE,BYRON,MELODIE,0
bounty,GENE,MANDY,SPROUT,BELLE,BYRON,MELODIE,0
bounty,GENE,MANDY,SPROUT,BELLE,BYRON,MELODIE,1
bounty,CARL,LARRY & LAWRIE,SAM,CORDELIUS,EVE,SHELLY,1
bounty,CARL,LARRY & LAWRIE,SAM,CORDELIUS,EVE,SHELLY,1
bounty,CARL,LARRY & LAWRIE,SAM,CORDELIUS,EVE,SHELLY,0
gemGrab,CHESTER,COLETTE,PIPER,8-BIT,LOLA,SAM,1
gemGrab,CHESTER,COLETTE,PIPER,8-BIT,LOLA,SAM,1
hotZone,AMBER,COLETTE,GRIFF,BARLEY,BUSTER,MELODIE,0
hotZone,AMBER,COLETTE,GRIFF,BARLEY,BUSTER,MELODIE,0
hotZone,COLETTE,JESSIE,SAM,AMBER,FRANK,RUFFS,1
hotZone,COLETTE,JESSIE,SAM,AMBER,FRANK,RUFFS,1
brawlBall,BARLEY,HANK,SURGE,COLT,GRIFF,MEG,1
brawlBall,BARLEY,HANK,SURGE,COLT,GRIFF,MEG,1
hotZone,DYNAMIKE,EMZ,RICO,GALE,MICO,SANDY,1
hotZone,DYNAMIKE,EMZ,RICO,GALE,MICO,SANDY,1
knockout,BROCK,COLT,GUS,ANGELO,LILY,MR. P,1
knockout,BROCK,COLT,GUS,ANGELO,LILY,MR. P,1
heist,ANGELO,CROW,MANDY,COLT,EVE,JESSIE,0
heist,ANGELO,CROW,MANDY,COLT,EVE,JESSIE,0
knockout,BROCK,DYNAMIKE,PIPER,ANGELO,LARRY & LAWRIE,MEG,1
knockout,BROCK,DYNAMIKE,PIPER,ANGELO,LARRY & LAWRIE,MEG,1
bounty,BYRON,CARL,MEG,MANDY,MR. P,NANI,0
bounty,BYRON,CARL,MEG,MANDY,MR. P,NANI,1
bounty,BYRON,CARL,MEG,MANDY,MR. P,NANI,0
heist,BUZZ,COLT,MANDY,JESSIE,MAX,PIPER,0
heist,BUZZ,COLT,MANDY,JESSIE,MAX,PIPER,1
heist,BUZZ,COLT,MANDY,JESSIE,MAX,PIPER,0
brawlBall,SANDY,SURGE,WILLOW,BARLEY,CHESTER,RICO,1
brawlBall,SANDY,SURGE,WILLOW,BARLEY,CHESTER,RICO,1
brawlBall,BELLE,CHESTER,MEG,NITA,SQUEAK,SURGE,1
brawlBall,BELLE,CHESTER,MEG,NITA,SQUEAK,SURGE,1
bounty,BARLEY,DYNAMIKE,TICK,CHESTER,LARRY & LAWRIE,MICO,1
bounty,BARLEY,DYNAMIKE,TICK,CHESTER,LARRY & LAWRIE,MICO,1
brawlBall,CHESTER,RICO,ROSA,BUSTER,COLT,MEG,0
brawlBall,CHESTER,RICO,ROSA,BUSTER,COLT,MEG,0
hotZone,DYNAMIKE,FRANK,R-T,CORDELIUS,LARRY & LAWRIE,MEG,1
hotZone,DYNAMIKE,FRANK,R-T,CORDELIUS,LARRY & LAWRIE,MEG,1
hotZone,CHESTER,CROW,SURGE,AMBER,LARRY & LAWRIE,SANDY,0
hotZone,CHESTER,CROW,SURGE,AMBER,LARRY & LAWRIE,SANDY,1
hotZone,CHESTER,CROW,SURGE,AMBER,LARRY & LAWRIE,SANDY,0
gemGrab,BERRY,GENE,LILY,AMBER,RICO,SPIKE,0
gemGrab,BERRY,GENE,LILY,AMBER,RICO,SPIKE,0
bounty,BULL,MICO,MR. P,DYNAMIKE,LILY,MORTIS,1
bounty,BULL,MICO,MR. P,DYNAMIKE,LILY,MORTIS,1
hotZone,AMBER,BARLEY,CARL,ANGELO,FANG,LOU,1
hotZone,AMBER,BARLEY,CARL,ANGELO,FANG,LOU,1
hotZone,CROW,JESSIE,MELODIE,BARLEY,BUZZ,GALE,1
hotZone,CROW,JESSIE,MELODIE,BARLEY,BUZZ,GALE,1
hotZone,CROW,JESSIE,MELODIE,BARLEY,BUZZ,GALE,0
heist,CLANCY,COLETTE,PIPER,BIBI,BUZZ,MELODIE,1
heist,CLANCY,COLETTE,PIPER,BIBI,BUZZ,MELODIE,0
heist,CLANCY,COLETTE,PIPER,BIBI,BUZZ,MELODIE,1
heist,MICO,SHELLY,SQUEAK,FRANK,JESSIE,MEG,1
heist,MICO,SHELLY,SQUEAK,FRANK,JESSIE,MEG,1
heist,KIT,LARRY & LAWRIE,MICO,CROW,GRAY,RICO,0
heist,KIT,LARRY & LAWRIE,MICO,CROW,GRAY,RICO,1
heist,KIT,LARRY & LAWRIE,MICO,CROW,GRAY,RICO,0
gemGrab,AMBER,DRACO,SANDY,GALE,GENE,LILY,0
gemGrab,AMBER,DRACO,SANDY,GALE,GENE,LILY,0
bounty,ANGELO,BUSTER,LEON,BYRON,LARRY & LAWRIE,NANI,0
bounty,ANGELO,BUSTER,LEON,BYRON,LARRY & LAWRIE,NANI,0
